,author,statement,source,date,target
0,Tom Kertscher,“NASA stopped exploring the ocean.”,Instagram posts,"January 30, 2023",pants-fire
1,Maria Ramirez,“The White House is now attempting to ban all gas ovens and burners.”,Sean Hannity,"• January 12,",false
2,Andy Nguyen,"Large machinery is “required to move 500,000 pounds of earth in order to get the minerals needed for one single Tesla car battery.”",Instagram posts,"December 13, 2022",false
3,Faithlyn Graham,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,Joe Manchin,"November 10, 2022",true
4,Kristin Hugo,“There are no greenhouse gas emissions in this photo” of cows grazing.,Instagram posts,"November 7, 2022",false
5,Kristin Hugo,"For climate change environmentalists, “not a single one of their predictions ever come true.”",Charlie Kirk,"October 25, 2022",false
6,Jessica Riley,"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",Citizens Against Government Waste,"October 25, 2022",barely-true
7,Kristin Hugo,"""In Germany, millions of solar panels are blanketed in snow and 30,000 wind turbines are sitting idle because there’s no wind.”",Instagram posts,"October 12, 2022",false
8,Louis Jacobson,“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”,J.D. Vance,"October 11, 2022",half-true
9,Yacob Reyes,"U.S. Sen. Marco Rubio ""has denied climate change.""",Val Demings,"October 11, 2022",half-true
10,Yacob Reyes,"Lee County, Florida, wasn't ""even in the cone"" of Hurricane Ian 72 hours before landfall.",Ron DeSantis,"October 4, 2022",barely-true
11,Yacob Reyes,"""The true meaning of Hurricane,"" or Her-ricane, is the spirit of ""the African woman who has been stolen.""",Facebook posts,"September 29, 2022",false
12,Gabrielle Settles,“All weather is artificially controlled.”,Instagram posts,"September 29, 2022",pants-fire
13,D.L. Davis,"""Democrats' radical green energy policies caused record gas prices. """,Ron Johnson,"September 16, 2022",barely-true
14,Michael Majchrowicz,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",Instagram posts,"September 14, 2022",pants-fire
