,author,statement,source,date,target
0,Laura Schulte,"“Wisconsin is the nation’s top cranberry producer — in fact, our farmers harvest around 60 percent of the country’s crop.”",Tony Evers,"February 2, 2023",true
1,Nusaiba Mizan,"""Biden drained America's Strategic Petroleum Reserves to the lowest level since 1984.""",Morgan Luttrell,"January 19, 2023",true
2,D.L. Davis,"""Historically, our spring elections (including for state Supreme Court) have a smaller turnout associated with them.""",Melissa Agard,"January 10, 2023",true
3,D.L. Davis,"""Latina workers make 54 cents for every dollar earned by white, non-Hispanic men.""",Tammy Baldwin,"December 16, 2022",true
4,Tom Kertscher,Joe Biden’s $36 billion for a union pension fund is “the largest private pension bailout in American history.”,Kevin Brady,"December 14, 2022",true
5,Jill Terreri,Proposed rule would limit milk for WIC participants,Elise Stefanik,"• December 10,",true
6,D.L. Davis,"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years.""",Bryan Steil,"December 9, 2022",true
7,Louis Jacobson,“Gas prices are down back to where they were before Russia invaded Ukraine.”,Joe Biden,"November 30, 2022",true
8,Faithlyn Graham,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,Joe Manchin,"November 10, 2022",true
9,Renee Romo,“Kari Lake is opposed to red flag laws.”,Everytown for Gun Safety,"November 8, 2022",true
10,Tom Kertscher,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",Liquid Death,"November 7, 2022",true
11,Jami Martin-Trainor,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",Ashley Hinson,"November 4, 2022",true
12,Chad Bradley,David Schweikert has “been convicted of 11 House ethics violations.”,Jevin Hodge,"November 4, 2022",true
13,D.L. Davis,"Says Tim Michels ""opposes closing the loophole that allows domestic abusers to buy guns.""",A Better Wisconsin Together,"October 24, 2022",true
14,Courtney Clingan,“Overdoses reached an all-time high in 2021.”,West Virginia Republican Party,"October 13, 2022",true
15,Tom Kertscher,"Herschel Walker misled about “personally treating 4,500 veterans per year,” about “graduating from college” and about “working in law enforcement.”",Democratic Senatorial Campaign Committee,"October 4, 2022",true
16,Haley Tenore,"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",Kathy Hoffman,"September 19, 2022",true
17,Jon Greenberg,"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",Elizabeth Warren,"September 13, 2022",true
18,Andy Nguyen,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Instagram posts,"August 30, 2022",true
19,Laura Schulte,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,League of Conservation Voters,"August 19, 2022",true
20,Alan Hovorka,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",Francesca Hong,"July 26, 2022",true
21,Nusaiba Mizan,Texas' public high school graduation rate is at 90% overall.,Greg Abbott,"July 14, 2022",true
22,Warren Fiske,“The four big meat packers are raking in record profits … ”,Abigail Spanberger,"June 30, 2022",true
23,Warren Fiske,"“In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.”",Levar Stoney,"June 24, 2022",true
24,Laura Schulte,"“Wisconsin's archaic abortion ban is older than 20 states.""",Tony Evers,"June 22, 2022",true
25,Madeline Heim,"""The tax carve out (Ron) Johnson spearheaded overwhelmingly benefited the wealthiest, over small businesses.""",Democratic Party of Wisconsin,"June 7, 2022",true
26,Vanessa Swales,"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.”",Cavalier Johnson,"May 24, 2022",true
27,Louis Jacobson,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",Gary Black,"May 23, 2022",true
28,D.L. Davis,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",Kelda Helen Roys,"May 11, 2022",true
29,D.L. Davis,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",Eric Toney,"May 10, 2022",true
30,Jill Terreri,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",Andrea Stewart-Cousins,"• May 7,",true
31,Elizabeth Egan,“New York leads the U.S. in population loss.”,Lee Zeldin,"May 6, 2022",true
32,Analisa Trofimuk,We’ve reduced crime to its lowest level in 27 years.,Keith Pekau,"May 1, 2022",true
33,Jill Terreri,"Since taking office, Hochul has passed more than 400 new bills",Kathy Hochul,"• April 30,",true
34,D.L. Davis,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",Melissa Agard,"April 29, 2022",true
35,Lauren White,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,Jennifer Konfrst,"April 7, 2022",true
36,Warren Fiske,“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,Tim Kaine,"March 18, 2022",true
37,Yacob Reyes,"Florida is ""49th in the nation when it comes to (Medicaid) funding” for people with disabilities.",Nikki Fried,"March 14, 2022",true
38,Jill Terreri,“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,Kathy Hochul,"• March 11,",true
39,D.L. Davis,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",Glenn Grothman,"March 11, 2022",true
40,Meghan Hall,"“With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.”",Robert Ortt,"March 9, 2022",true
41,Nusaiba Mizan,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",Ted Cruz,"February 28, 2022",true
42,Nusaiba Mizan,"""100,000 Americans died of an overdose in a single year.""",John Cornyn,"February 21, 2022",true
43,Warren Fiske,“More than half of Virginia’s school buildings are older than 50 years.”,Jennifer McClellan,"February 18, 2022",true
44,Alan Hovorka,Says he has issued more pardons than “any Wisconsin governor in contemporary history.”,Tony Evers,"February 15, 2022",true
45,Rylee Wilson,"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",Brian Tyler Cohen,"February 8, 2022",true
46,Lyle Muller,"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”",Joni Ernst,"January 26, 2022",true
47,Nusaiba Mizan,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",Roger Williams,"January 18, 2022",true
48,Madison Czopek,"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",Jen Psaki,"January 12, 2022",true
49,Nina Baker,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”",Iowa Senate Democrats,"January 11, 2022",true
50,Jill Terreri,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",NYS Department of Corrections and Community Supervision,"• November 19,",true
51,Eleanor Hildebrandt,"“Iowa ranks 45th in the U.S. for internet connectivity.""",Cindy Axne,"November 12, 2021",true
52,Emily Zirkelbach,“FUN FACT: West Virginia is home to zero billionaires.”,David Gura,"November 9, 2021",true
53,Madeline Heim,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,Kelda Helen Roys,"November 2, 2021",true
54,Sabine Martin,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",Randy Feenstra,"October 28, 2021",true
55,Andy Nguyen,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",Facebook posts,"October 22, 2021",true
