,author,statements,source,date,target,BinaryTarget,BinaryNumTarget
0,Sara Swann,“‘Satellites’ are on balloons and not in space.”,Instagram posts,"7, 2023 2023",pants-fire,FALSE,0
1,Madison Czopek,“Pfizer just got caught doing gain of function to mutate covid intentionally for vaccines.”,Instagram posts,"6, 2023 2023",false,FALSE,0
2,Jeff Cercone,"Joe Biden said to transgender women, “you will never be a real woman.”",Instagram posts,"6, 2023 2023",pants-fire,FALSE,0
3,Ciara O'Rourke,A vigilante “shot down the Chinese spy balloon in an extraordinary act.”,Instagram posts,"6, 2023 2023",false,FALSE,0
4,Sara Swann,Pregnancy tests include a “hidden Plan B” pill.,Facebook posts,"2, 2023 2023",false,FALSE,0
5,Loreben Tuquero,"“More classified documents (were) found at the University of Delaware,” the “equivalent of a tractor trailer worth.”",Peggy Hubbard,"2, 2023 2023",false,FALSE,0
6,Tom Kertscher,"U.S. Rep. Ilhan Omar is ""facing 40 years in prison and deportation after seven new crimes uncovered.""",Facebook posts,"2, 2023 2023",false,FALSE,0
7,Madison Czopek,The officers who beat Tyre Nichols targeted him because he was “allegedly dating” one of their wives.,Facebook posts,"1, 2023 2023",false,FALSE,0
8,Jeff Cercone,"""Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.”",Instagram posts,"31, 2023 2023",false,FALSE,0
9,Ciara O'Rourke,Video shows people collapsing because of COVID-19 vaccines.,Viral image,"31, 2023 2023",false,FALSE,0
10,Ciara O'Rourke,"The government caused a fire at Hillandale Farms in Connecticut “so that they can force us into eating their fake GMO meats, or starve us into compliance.”",Viral image,"31, 2023 2023",false,FALSE,0
11,Ciara O'Rourke,U.S. Rep. Alexandria Ocasio-Cortez tweeted that Instagram needs to “TERMINATE…a right-wing media page posting CONSERVATIVE content.”,Viral image,"31, 2023 2023",false,FALSE,0
12,Ciara O'Rourke,“BREAKING GOP approves resolution to expel Omar from Congress! It’s over for her!”,Facebook posts,"31, 2023 2023",false,FALSE,0
13,Ciara O'Rourke,The Georgia High School Association started issuing a “sudden cardiac arrest awareness form” in the wake of COVID-19 vaccines.,Viral image,"31, 2023 2023",false,FALSE,0
14,Ciara O'Rourke,Video shows a “man burning the Quran in Sweden.”,Facebook posts,"31, 2023 2023",false,FALSE,0
15,Ciara O'Rourke,The United Kingdom banned COVID-19 booster vaccines for people under 50.,Viral image,"31, 2023 2023",barely-true,FALSE,0
16,Ciara O'Rourke,Video shows Congress “erupting” over U.S. Sen. Ted Cruz’s remarks.,Facebook posts,"31, 2023 2023",false,FALSE,0
17,Andy Nguyen,Global warming is a “fraud.”,Facebook posts,"31, 2023 2023",false,FALSE,0
18,Ciara O'Rourke,“Biden smirks while saying he has added more to the debt than any president before him.”,Viral image,"31, 2023 2023",false,FALSE,0
