,author,statement,source,date,target
0,Yacob Reyes,"""I got a list of 20 jurisdictions that defunded the police to the tune of over $1 billion total.""",Jim Jordan,"February 1, 2023",barely-true
1,Ciara O'Rourke,The United Kingdom banned COVID-19 booster vaccines for people under 50.,Viral image,"January 31, 2023",barely-true
2,Paul Specht,“Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.”,Richard Hudson,"January 30, 2023",barely-true
3,Tom Kertscher,"""New government-funded 'food pyramid' says Lucky Charms are healthier than steak.""",Instagram posts,"January 24, 2023",barely-true
4,Tom Kertscher,"""Social Security has nothing to do with the deficit or the national debt.""",Occupy Democrats,"January 18, 2023",barely-true
5,Madison Czopek,“All ‘gender affirming care’ for children is 100% experimental. There are zero long term studies on the effects the drugs and surgeries will have on them.”,Instagram posts,"January 17, 2023",barely-true
6,Jill Terreri,"California has twice the population of New York, but spends $260 billion, while New York spends $220 billion.",William Barclay,"• January 13,",barely-true
7,Sara Swann,The cost of eggs has gone up 700%.,Facebook posts,"January 13, 2023",barely-true
8,Louis Jacobson,"As president, Donald Trump “marshaled the full power of government to stop deadly drugs, opioids, and fentanyl from coming into our country. As a result, drug overdose deaths declined nationwide for the first time in nearly 30 years.""",Donald Trump,"January 9, 2023",barely-true
9,Gabrielle Settles,“Ray Epps confessed to Jan. 6 Committee he ‘orchestrated’ attack on Capitol”,Instagram posts,"January 6, 2023",barely-true
10,Laura Schulte,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,Tom Tiffany,"January 6, 2023",barely-true
11,Warren Fiske,“Kevin Adams wants to ban abortion.”,Aaron Rouse,"January 5, 2023",barely-true
12,Warren Fiske,“The Virginia GOP education agenda (would) erase slavery from VA history.”,Democratic Legislative Campaign Committee,"December 14, 2022",barely-true
13,Gabrielle Settles,The 2021 infrastructure bill requires all new vehicles to have kill switches that will stop vehicle operation and alert law enforcement when drivers are impaired.,Instagram posts,"December 5, 2022",barely-true
14,Vanessa Swales,“Wisconsin elementary school students buck national trends in ‘National Report Card’ release.”,Jill Underly,"December 5, 2022",barely-true
