,author,statement,source,date,target
0,Louis Jacobson,“We created more new jobs in two years than any president did in their entire term.”,Joe Biden,"February 7, 2023",half-true
1,D.L. Davis,"""During my time in office, we've increased per pupil aid by more than $300 per student. Now, our schools have returned to the top 10 in the country after falling to 17 under the previous administration.”",Tony Evers,"February 7, 2023",half-true
2,Yacob Reyes,"""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight.""",Gavin Newsom,"February 6, 2023",half-true
3,Samantha Putterman,“Female student-athletes in Florida need to provide their schools with detailed information about their periods.”,Tweets,"February 3, 2023",half-true
4,Maria Ramirez,"""Under Biden, we have seen over 4.6 million encounters at our southern border. Most have been released into the interior and will stay here indefinitely.""",Chip Roy,"• February 3,",half-true
5,Louis Jacobson,"“Two years ago this week, 18 million people were out of work needing unemployment benefits. Today, that number is under 1.6 million, the lowest in decades.”",Joe Biden,"January 27, 2023",half-true
6,Louis Jacobson,"“One quarter” of today’s $31.4 trillion federal debt “was accumulated in the four years of my predecessor,” Donald Trump.",Joe Biden,"January 25, 2023",half-true
7,Louis Jacobson,"“Classified documents can never be taken out of a (sensitive compartmented information facility), ever.”",Brian Fitzpatrick,"January 24, 2023",half-true
8,Louis Jacobson,"“When the Republicans were in power the last time for eight years, do you know how much discretionary spending increased in those eight years? Zero.”",Kevin McCarthy,"January 18, 2023",half-true
9,Louis Jacobson,“Take-home pay for workers is going up.”,Joe Biden,"January 13, 2023",half-true
10,Yacob Reyes,"""Florida's water is dirtier and sicker than when Gov. DeSantis first took office.""",Lindsay Cross,"January 13, 2023",half-true
11,Liam Halawith,Luana Stoltenberg “originally LOST her race for Iowa State House when Machines declared the Democrat the Winner.”,Kari Lake,"December 20, 2022",half-true
12,Amy Sherman,“We have 85 million Americans who have no health insurance.”,Bernie Sanders,"December 13, 2022",half-true
13,Yacob Reyes,“60% of counties in this country are refusing to implement the nation's gun laws.”,Chris Murphy,"December 1, 2022",half-true
14,Amy Sherman,"Herschel Walker “is heavily funded by the oil and gas industry, raking in more than $140,000 in donations from Big Oil and other energy interests.""",League of Conservation Voters,"December 1, 2022",half-true
15,Tom Kertscher,"“(Raphael) Warnock’s camp was shut down for failing to report five findings of child abuse and neglect.""",Herschel Walker,"November 29, 2022",half-true
16,Paul Specht,"“Ted Budd voted to cut Medicare and Social Security and voted to raise the retirement age, too.”",Senate Majority PAC,"November 7, 2022",half-true
17,Warren Fiske,They were “never my comments” that a woman can’t get pregnant from rape.,Yesli Vega,"November 4, 2022",half-true
18,Alexis Waiss,"Abraham Hamadeh says he will “lock up doctors, nurses, pharmacists” and “punish women for abortion.”",Kris Mayes,"November 2, 2022",half-true
19,Maria Ramirez,“Marco Rubio le ha votado en contra a los Dreamers”.,Florida Immigrant Coalition,"• November 1,",half-true
20,Liam Halawith,"""Deidre DeJear refused to stand for police.""",Kim Reynolds,"October 31, 2022",half-true
21,Madison Czopek,Pennsylvania drop boxes were “pre-loaded” with ballots.,Instagram posts,"October 28, 2022",half-true
22,Renee Romo,“Kids are resistant to COVID as opposed to older people.”,Tom Horne,"October 28, 2022",half-true
23,Ciara O'Rourke,A Phoenix TV station aired the election results more than a week early.,Instagram posts,"October 28, 2022",half-true
24,Maria Ramirez,Adam Laxalt is “anti-DACA” and “fought against the protections for DACA recipients when he was attorney general.”,Catherine Cortez Masto,"• October 26,",half-true
25,Jill Terreri,"New York state is outpacing the rest of the country, because shootings in New York are down 10%, and across the country the drop is only 2%.",Kathy Hochul,"• October 24,",half-true
26,Jeff Cercone,“Boston University CREATES a new COVID strain that has an 80% kill rate.”,Instagram posts,"October 20, 2022",half-true
27,Tom Kertscher,"A dog endured “unimaginable pain and suffering” during heart research experiments, “just one of 300 killed in (Dr. Mehmet) Oz’s lab.”",Senate Majority PAC,"October 19, 2022",half-true
28,Alexis Waiss,"Abraham Hamadeh misled ""about his legal experience.”",Arizona Democratic Party,"October 18, 2022",half-true
29,Jasper Birmingham,"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",Joe Manchin,"• October 18,",half-true
30,Warren Fiske,"Abigail Spanberger supported “nearly $1 billion in stimulus checks for prisoners, including domestic terrorists.”",National Republican Congressional Committee,"October 18, 2022",half-true
31,Louis Jacobson,"The Biden administration has “created” more than double the number of jobs per month, on average, than any other administration going back to George H.W. Bush.",Joe Biden,"October 13, 2022",half-true
32,Louis Jacobson,“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”,J.D. Vance,"October 11, 2022",half-true
33,Yacob Reyes,"U.S. Sen. Marco Rubio ""has denied climate change.""",Val Demings,"October 11, 2022",half-true
34,Tom Kertscher,Adam Laxalt “would let Nevada and other states ban abortion with zero exceptions.”,Democratic Senatorial Campaign Committee,"October 10, 2022",half-true
35,Laura Schulte,Says Mandela Barnes “supported a 20% increase in the gas tax.”,Ron Johnson,"October 6, 2022",half-true
36,Tom Kertscher,"Val Demings ""voted to allow transgender youth sports and teaching radical gender identity without parental consent.""",Marco Rubio,"October 5, 2022",half-true
37,Liam Halawith,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",Zach Nunn,"October 5, 2022",half-true
38,Warren Fiske,"“In 2016, Democrats suggested that the election was stolen.”",Glenn Youngkin,"October 5, 2022",half-true
39,Paul Specht,Ted Budd “helped write legislation to outlaw abortion nationwide with no exceptions for rape or incest — a law that could even put doctors in jail.”,EMILY's List,"October 5, 2022",half-true
40,Amy Sherman,Tim Ryan said “I do love” Nancy Pelosi and votes with Joe Biden and Pelosi 100%.,J.D. Vance,"October 4, 2022",half-true
41,Gabrielle Settles,Martha's Vineyard declared itself as a sanctuary city until the buses arrived.,Peggy Hubbard,"September 27, 2022",half-true
42,Warren Fiske,“Jen Kiggans’ campaign confirmed today that she would support a national abortion ban.”,Elaine Luria,"September 26, 2022",half-true
43,Laura Schulte,“Mandela Barnes…wants to release 50% of the prison population when 68% is classified as ‘violent offenders.’”,National Republican Senatorial Committee,"September 21, 2022",half-true
44,Louis Jacobson,"“This year, it's going to be over $1.5 trillion (that we’ve) reduced the debt.""",Joe Biden,"September 20, 2022",half-true
45,Jon Greenberg,“I had zero emails that were classified.”,Hillary Clinton,"September 13, 2022",half-true
46,Louis Jacobson,The child tax credit passed under President Joe Biden “has helped 97% of the families with children who are living in poverty.”,Raphael Warnock,"September 7, 2022",half-true
47,Tori Gantz,"Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Herschel Walker,"September 1, 2022",half-true
48,Paul Specht,"“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”",Cheri Beasley,"September 1, 2022",half-true
49,Kristin Hugo,“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Facebook posts,"August 31, 2022",half-true
50,Madison Czopek,“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,Charlie Kirk,"August 31, 2022",half-true
51,Lyle Muller,"“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",Joni Ernst,"August 30, 2022",half-true
52,Yacob Reyes,"Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.",Facebook posts,"August 29, 2022",half-true
53,Louis Jacobson,"""Adjusted for inflation, over the last 25 years teachers have made a $29 increase in their salary.""",Miguel Cardona,"August 24, 2022",half-true
54,D.L. Davis,"""We are number one in the country as far as our spending (COVID-19 relief) money on businesses as it relates to the percentage of federal funds that we receive.""",Tony Evers,"August 16, 2022",half-true
55,Tom Kertscher,"""Adam Laxalt fought an investigation into the oil industry, then they funded his campaign.""",Catherine Cortez Masto,"August 12, 2022",half-true
56,Julie Appleby,"About a federal hospital price transparency requirement, “Nobody’s enforcing that law.”",Power to the Patients,"August 9, 2022",half-true
57,Louis Jacobson,"A Democratic bill negotiated between Sens. Joe Manchin and Chuck Schumer would ""increase taxes on millions of Americans across every income bracket.""",Adam Laxalt,"August 3, 2022",half-true
58,Maria Ramirez,"""Karrin Taylor Robson gave illegals tuition discounts and made us pay for it.""",Kari Lake,"• August 1,",half-true
59,Louis Jacobson,"""We've cut the deficit by a record $1.5 trillion this year.""",Janet Yellen,"July 28, 2022",half-true
60,Tom Kertscher,Raphael Warnock and Catherine Cortez Masto “voted to allow hundreds of millions of dollars of COVID relief funds to be squandered” on leisure projects.,One Nation,"July 28, 2022",half-true
61,Laura Schulte,"""Thanks to failed Dem policies, beer is 9.1% more expensive.""",Ron Johnson,"July 18, 2022",half-true
62,Tom Kertscher,Mehmet Oz “wants to make abortion a crime in Pennsylvania.”,Planned Parenthood Votes,"July 18, 2022",half-true
63,Vanessa Swales,The RNC is “a $200 million economic infusion into our communities.”,Cavalier Johnson,"July 8, 2022",half-true
64,Tom Kertscher,"J.D. Vance ""wants to defund law enforcement.""",Tim Ryan,"June 30, 2022",half-true
65,Laura Schulte,"Says U.S. Sen. Ron Johnson, his prospective opponent, has received $1.2 million from the gun lobby.",Mandela Barnes,"June 28, 2022",half-true
66,Louis Jacobson,“The majority of citizens in the country will have no change at all because … most of the population resides in states that have already protected abortion rights.”,Jonathan Turley,"June 27, 2022",half-true
67,Tom Kertscher,"Adam Laxalt ""supports eliminating Nevada's protections for legal abortions.""",Catherine Cortez Masto,"June 23, 2022",half-true
68,Louis Jacobson,“In every other major industrial country in the world … inflation is higher.”,Joe Biden,"June 22, 2022",half-true
69,Nina Baker,"$3 million per day in ""your tax dollars"" are being spent to guard ""unused border wall materials.""",Joni Ernst,"June 16, 2022",half-true
70,Ellie Borst,"Blake Masters “unironically quoted a Nazi, called World War II an unjust war, called the Unabomber one of his intellectual influencers, and shared an article attacking Israel as the North Korea of the Middle East.”",Jim Lamon,"June 16, 2022",half-true
71,Laura Schulte,"""Nearly 60% of all student loan debt is held by the rich and upper-middle class,"" so forgiveness would give the wealthy a ""financial windfall"" but not really help low-income people.",Glenn Grothman,"June 10, 2022",half-true
72,Ciara O'Rourke,“U.S. Orders MILLIONS Of Smallpox Vaccines Amid Global Monkeypox Outbreak.”,Facebook posts,"June 8, 2022",half-true
73,Sara Swann,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",Facebook posts,"June 3, 2022",half-true
74,Louis Jacobson,"In 2013, under a Democratic Senate, ""a majority of the Senate voted in favor of"" gun-related legislation sponsored by Republican Sens. Chuck Grassley and Ted Cruz, “but the Democrats filibustered it.”",Ted Cruz,"May 27, 2022",half-true
75,Lyle Muller,"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”",Zach Nunn,"May 27, 2022",half-true
76,Jill Terreri,Lee Zeldin “voted for Cuomo’s Billion Dollar Tax hike and every Cuomo budget.”,Harry Wilson,"• May 27,",half-true
77,Samantha Putterman,Studies show plastics can help combat climate change.,Facebook posts,"May 26, 2022",half-true
78,Paul Specht,Cheri Beasley “vacated” a man’s death sentence and “threw out” the indictment in a child assault case.,National Republican Senatorial Committee,"May 25, 2022",half-true
79,Jon Greenberg,“J.D. Vance profits off Russia propaganda.”,Tim Ryan,"May 24, 2022",half-true
80,Ciara O'Rourke,"“Indiana woman charged for mail in voter fraud, delivered 400 ballots with Democrat box pre-checked.”",Viral image,"May 20, 2022",half-true
81,Monique Curet,“Due to the baby formula shortage Tricare will now pay to have it shipped directly to you.”,Facebook posts,"May 18, 2022",half-true
82,Tom Kertscher,"Kathy Barnette ""pretends she's America First, but repeatedly attacked President Trump.""",Our American Century,"May 17, 2022",half-true
83,Laura Schulte,"“Title 42 has fueled the border crisis. In 2019, 7 percent of illegal border crossings were repeated crossings. Today the rate is 27 percent.”",Tom Nelson,"May 17, 2022",half-true
84,Yacob Reyes,“It costs more to live in many Florida cities than New York City.”,Charlie Crist,"May 16, 2022",half-true
85,Jon Greenberg,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,Lindsey Graham,"May 13, 2022",half-true
86,Louis Jacobson,"“My Treasury Department is planning to pay down the national debt this quarter, which never happened under my predecessor.”",Joe Biden,"May 13, 2022",half-true
87,Madeline Heim,"Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes. Instead, Republicans cut your taxes by more than $2 billion.""",John Macco,"May 6, 2022",half-true
88,Vanessa Swales,"""Ron Johnson pushed through a special tax loophole that benefited his own family's business … Then he cashed out of the company for $5 million … (he has) doubled his wealth since taking office.""",Opportunity Wisconsin,"April 27, 2022",half-true
89,Paul Specht,“Most Americans favor keeping Title 42 in place.”,Thom Tillis,"April 22, 2022",half-true
90,Louis Jacobson,"""For four years, I was a full professor at the University of Pennsylvania.""",Joe Biden,"April 22, 2022",half-true
91,Tom Kertscher,“J.D. Vance called for higher taxes.”,Mike Gibbons,"April 22, 2022",half-true
92,Jon Greenberg,"Joe Biden's spending “has sent prices skyrocketing.""",Jane Timken,"April 20, 2022",half-true
93,Warren Fiske,"“They’re going to be giving these people who come across the border, giving them smartphones.”",Rob Wittman,"April 19, 2022",half-true
94,Jill Terreri,“Cities in notoriously ‘tough on crime’ states like Texas and Florida saw a more significant increase in violent crime than cities in NYS.”,Crystal Peoples-Stokes,"• April 16,",half-true
95,Andy Nguyen,"""Joe Biden is giving smartphones away to illegal border crossers.”",Facebook posts,"April 14, 2022",half-true
96,Tom Kertscher,“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,Evan McMullin,"April 11, 2022",half-true
97,D.L. Davis,"""The price of insulin has been jacked up by Big Drug Corporations.”",Tammy Baldwin,"April 8, 2022",half-true
98,Tom Gaughan,"Gov. Kathy Hochul’s “record” includes “firing” 34,000 health care workers.",Rob Astorino,"April 6, 2022",half-true
99,Jon Greenberg,"In cutting greenhouse gas emissions, the United States is “the leader in the world by far.”",Dan Sullivan,"April 6, 2022",half-true
100,D.L. Davis,"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",Wisconsin Manufacturers and Commerce,"April 1, 2022",half-true
101,Eleanor Hildebrandt,"“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”",Joni Ernst,"March 30, 2022",half-true
102,Monique Curet,"""JUST IN: The Vatican has invited Chelsea Clinton, Dr. Fauci, New Age figure Deepak Chopra and the CEOs of Moderna and Pfizer to speak at a May conference focusing on 'health' and the 'soul.'""",Facebook posts,"March 29, 2022",half-true
103,Jeff Cercone,“Amy Coney Barrett overturned a $6.7M verdict after a prison guard repeatedly raped a 19-year-old inmate who was 8 months pregnant.”,Facebook posts,"March 29, 2022",half-true
104,Samantha Putterman,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,Facebook posts,"March 28, 2022",half-true
105,Madison Czopek,Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as “war criminals in a legal filing.”,John Cornyn,"March 24, 2022",half-true
106,Samantha Putterman,Photo shows a Home Depot worksheet on “privilege” used to train its employees.,Facebook posts,"March 24, 2022",half-true
107,Madeline Heim,“Gov. Tony Evers brought Republicans and Democrats together to cut income taxes for the middle class.”,Wisconsin Initiative,"March 22, 2022",half-true
108,Bill McCarthy,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,Facebook posts,"March 16, 2022",half-true
109,Tyler Smith,"“The Manhattan DA is actually proposing to downgrade armed robbery to a misdemeanor, and to stop prosecuting resisting arrest.”",Tom Suozzi,"March 16, 2022",half-true
110,Kelsey Harrell,"California has instituted a ""bacon ban.""",Ashley Hinson,"March 11, 2022",half-true
111,D.L. Davis,"Says President Joe Biden ""is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same (carbon emission) standards we do at home.""",Glenn Grothman,"March 11, 2022",half-true
112,Elizabeth Egan,“More white legacy students get admitted to top universities than Black & Latinx students admitted through affirmative action.”,Jamaal Bowman,"March 7, 2022",half-true
113,Tom Kertscher,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,Mike Gibbons,"March 4, 2022",half-true
114,Paul Specht,"There are now zero students, staff or anyone “related to the school system” in Union County” hospitalized with COVID-19, despite harsh criticism of school COVID policy.",David Willis,"March 2, 2022",half-true
115,Louis Jacobson,"“Our economy created over 6.5 million new jobs just last year, more jobs in one year than ever before in the history of the United States of America.”",Joe Biden,"March 1, 2022",half-true
116,Tom Kertscher,"The Keystone XL pipeline ""would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia.""",Jake LaTurner,"February 28, 2022",half-true
